"","x","y","area","peri","land_perc"
"137",-2065000,6984039,13267.5685714286,474.834857142858,NA
"138",-1975000,6984039,13267.5685714287,474.834857142858,NA
"139",-1885000,6984039,13267.5685714286,474.834857142858,NA
"140",-1795000,6984039,13267.5685714286,474.834857142858,NA
"141",-1705000,6984039,13267.5685714286,474.834857142858,NA
"142",-1615000,6984039,13267.5685714286,474.834857142858,NA
"143",-1525000,6984039,13267.5685714286,474.834857142858,NA
"144",-1435000,6984039,13267.5685714286,474.834857142858,NA
"145",-1345000,6984039,13267.5685714286,474.834857142858,NA
"146",-1255000,6984039,13267.5685714286,474.834857142858,NA
"147",-1165000,6984039,13267.5685714286,474.834857142858,NA
"148",-1075000,6984039,13267.5685714286,474.834857142858,NA
"149",-985000,6984039,13267.5685714286,474.834857142858,NA
"150",-895000,6984039,13267.5685714286,474.834857142858,NA
"151",-805000,6984039,13267.5685714286,474.834857142858,NA
"152",-715000,6984039,13267.5685714286,474.834857142858,NA
"153",-625000,6984039,13267.5685714286,474.834857142858,NA
"154",-535000,6984039,13267.5685714286,474.834857142858,NA
"155",-445000,6984039,13267.5685714286,474.834857142858,NA
"156",-355000,6984039,13267.5685714286,474.834857142858,NA
"157",-265000,6984039,13267.5685714286,474.834857142858,NA
"158",-175000,6984039,13267.5685714286,474.834857142858,NA
"159",-85000,6984039,13267.5685714286,474.834857142858,NA
"160",5000,6984039,13267.5685714286,474.834857142858,NA
"161",95000,6984039,13267.5685714286,474.834857142858,NA
"162",185000,6984039,13267.5685714286,474.834857142858,NA
"163",275000,6984039,13267.5685714286,474.834857142858,NA
"164",365000,6984039,13267.5685714286,474.834857142858,NA
"165",455000,6984039,13267.5685714286,474.834857142858,NA
"166",545000,6984039,13267.5685714286,474.834857142858,NA
"167",635000,6984039,13267.5685714286,474.834857142858,NA
"168",725000,6984039,13267.5685714286,474.834857142858,0.0435401072135132
"169",815000,6984039,13267.5685714286,474.834857142858,0.259718792378872
"170",905000,6984039,13267.5685714286,474.834857142858,0.928540048096189
"171",995000,6984039,13267.5685714286,474.834857142858,0.957377226589985
"172",1085000,6984039,13267.5685714286,474.834857142858,0.198791154831773
"173",1175000,6984039,13267.5685714286,474.834857142858,NA
"174",1265000,6984039,13267.5685714286,474.834857142858,NA
"175",1355000,6984039,13267.5685714286,474.834857142858,NA
"176",1445000,6984039,13267.5685714286,474.834857142858,NA
