"","x","y","land_perc","temp","phyto","velo"
"89",1715000,7278873.85714286,0.509330307634476,10.5573825835934,2.6073158873597,0.115167540821038
"90",1805000,7278873.85714286,0.32699955298012,10.3315056614743,1.97699095039816,0.0725640239303409
"91",-2155000,7131456.42857143,NA,2.17735955030149,3.59506728198254,0.109045824086308
"92",-2065000,7131456.42857143,NA,3.03073902292591,3.97606283494257,0.268814171418401
"93",-1975000,7131456.42857143,NA,4.91716516725267,2.93425700652411,0.1573122343746
"94",-1885000,7131456.42857143,NA,5.76454740803389,2.09029743963102,0.0219292444137208
"95",-1795000,7131456.42857143,NA,5.91115521275619,1.90918497314361,0.0141711825482356
"96",-1705000,7131456.42857143,NA,5.77666954229095,1.83159574672067,0.0280019416034571
"97",-1615000,7131456.42857143,NA,5.68168485198048,1.7928461818165,0.0310282783289389
"98",-1525000,7131456.42857143,NA,5.65970220095896,1.81195094721418,0.0319501062912712
"99",-1435000,7131456.42857143,NA,5.69521330460509,1.80490514801688,0.0206860670393381
"100",-1345000,7131456.42857143,NA,5.84028284552761,1.79845815023164,0.0239035176483033
"101",-1255000,7131456.42857143,NA,6.11203215150952,1.81301128223239,0.020657907849067
"102",-1165000,7131456.42857143,NA,6.45053492020586,1.80821668908524,0.0256065216959461
"103",-1075000,7131456.42857143,NA,6.87164658583604,1.8310236558718,0.0294684204919399
"104",-985000,7131456.42857143,NA,7.28555625697515,1.84428087325563,0.033006929844494
"105",-895000,7131456.42857143,NA,7.68677442061972,1.86442545501575,0.0563227810788593
"106",-805000,7131456.42857143,NA,8.0628962017759,1.86735620829366,0.0749745723945236
"107",-715000,7131456.42857143,NA,8.50453566103249,1.79224782822606,0.0686703096957372
"108",-625000,7131456.42857143,NA,8.95259977387955,1.75677653487542,0.0618126775556178
"109",-535000,7131456.42857143,NA,9.20624967193011,1.77934850608479,0.0414071813514219
"110",-445000,7131456.42857143,NA,9.45208691261704,1.78520774656498,0.0192277576853894
"111",-355000,7131456.42857143,NA,9.78769956902941,1.79099922496884,0.0489843963965523
"112",-265000,7131456.42857143,NA,10.0763041149144,1.7664339958817,0.0505149895874159
"113",-175000,7131456.42857143,NA,10.3279423802251,1.74251903898842,0.0908141668405132
"114",-85000,7131456.42857143,NA,10.4772429674348,1.7445398052497,0.0761050789796423
"115",5000,7131456.42857143,NA,10.5996558265262,1.75602818525502,0.0465899555843091
"116",95000,7131456.42857143,NA,10.7542781315881,1.7066568412782,0.074791184689273
"117",185000,7131456.42857143,NA,10.7427133064503,1.6976843504199,0.0396513502839943
"118",275000,7131456.42857143,NA,10.7776564961775,1.73296923893064,0.0517873872773921
"119",365000,7131456.42857143,NA,10.9082148154246,1.82148214551136,0.0414717986097796
"120",455000,7131456.42857143,NA,11.1398766331798,1.90735063827595,0.0341281066760221
"121",545000,7131456.42857143,NA,11.1922650895491,1.8943515558274,0.0437132538782205
"122",635000,7131456.42857143,NA,11.2283186993253,2.05956547842775,0.071258596364058
"123",725000,7131456.42857143,0.0408799635326543,10.9499498198254,2.6944776007488,0.0914315389386373
"124",815000,7131456.42857143,0.173417383582869,10.507707116536,2.92953476523997,0.0798220766357036
"125",905000,7131456.42857143,0.773211364028367,10.0727363856428,3.47638440016732,0.0650698430681939
"126",995000,7131456.42857143,0.364802688900202,10.0196613655311,3.11775051213196,0.0584743490809333
"127",1085000,7131456.42857143,0.121929468385174,10.0512217324985,2.62204687996106,0.0648350566965357
"128",1175000,7131456.42857143,NA,10.3447544087788,2.26329155259441,0.0510511799470761
"129",1265000,7131456.42857143,NA,10.4868497536319,2.00358451172033,0.0313951571352019
"130",1355000,7131456.42857143,NA,10.4038564988173,1.86596287939154,0.0235862185549652
"131",1445000,7131456.42857143,NA,10.4069262750664,1.86582624691236,0.0349811498236596
"132",1535000,7131456.42857143,NA,10.6449787618247,1.71517358084899,0.0544780660608041
"133",1625000,7131456.42857143,NA,10.8256691333728,2.12512088906096,0.0553827522087003
"134",1715000,7131456.42857143,0.629231807874052,10.6483327461286,2.85510809702452,0.0304724719623303
"135",1805000,7131456.42857143,0.693211464526535,10.1714532407314,2.46083582518245,0.0325631356038212
"136",-2155000,6984039,NA,2.47584493074234,3.80691228756901,0.0910695803067263
"137",-2065000,6984039,NA,3.08148521240396,3.92151485286562,0.235927876157291
"138",-1975000,6984039,NA,5.30579734975986,2.95049868981136,0.14267114104386
"139",-1885000,6984039,NA,6.44622604752678,2.17229907782209,0.0246263654558975
"140",-1795000,6984039,NA,6.59960872740237,1.9567952231394,0.031355814421526
"141",-1705000,6984039,NA,6.42347511541848,1.82722358328547,0.0363351826415365
"142",-1615000,6984039,NA,6.21604656935696,1.78465300017103,0.0358664929184265
"143",-1525000,6984039,NA,6.19409014709686,1.79187279142288,0.0274271530008316
"144",-1435000,6984039,NA,6.2283801156324,1.79349807876018,0.0220021469871981
"145",-1345000,6984039,NA,6.37510105544655,1.76370139749157,0.0200996283036319
"146",-1255000,6984039,NA,6.64397432379836,1.77715151455224,0.0234096260935622
"147",-1165000,6984039,NA,7.00100123134461,1.79991652533745,0.027054638376932
"148",-1075000,6984039,NA,7.36557010656127,1.83138095299229,0.0307454242021667
"149",-985000,6984039,NA,7.74544448451033,1.84265962988795,0.0460251166620019
