"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"84",1265000,7278873.85714286,0,283.43559255272,1.99499392070115,5.15642830072312,0.42,1,1,1,1,1,1,1,1,1
"85",1355000,7278873.85714286,0,283.417644550369,2.04177931817616,6.67949062568395,0.44,1,1,1,1,1,1,1,1,1
"86",1445000,7278873.85714286,0.0612454426392655,283.436847447622,2.20222441688644,7.47785382153477,0.36,1,1,1,1,1,1,0,1,1
"87",1535000,7278873.85714286,0.238361208841395,283.542178697635,2.2538018986899,9.5357616777624,0.36,1,0,1,1,1,1,1,1,1
"88",1625000,7278873.85714286,0.0453279762580003,283.682919293932,2.00827600410878,13.9470234156624,0.42,1,1,1,1,1,0,1,1,1
"89",1715000,7278873.85714286,0.509330307634476,283.707382583593,2.33603233339255,10.3804725819566,0.4,1,1,1,1,1,1,1,1,0
"90",1805000,7278873.85714286,0.32699955298012,283.481505661474,1.77129085330405,6.54046144838537,0.18,1,1,0,0,1,1,0,1,0
"91",-2155000,7131456.42857143,0,275.327359550301,3.22101109886509,9.82869981450544,0.12,1,1,1,1,0,0,0,0,1
"92",-2065000,7131456.42857143,0,276.180739022926,3.56236518446255,24.2292065642541,0.1,1,0,1,1,1,1,1,1,1
"93",-1975000,7131456.42857143,0,278.067165167253,2.62895619013973,14.1791282864101,0.18,1,1,1,1,1,0,1,1,1
"94",-1885000,7131456.42857143,0,278.914547408034,1.87280813539264,1.97656317706205,0.16,1,1,1,1,1,1,1,1,1
"95",-1795000,7131456.42857143,0,279.061155212756,1.71053988866957,1.27730062522087,0.24,1,1,1,1,1,1,1,1,1
"96",-1705000,7131456.42857143,0,278.926669542291,1.64102359318515,2.52391763324982,0.16,1,1,1,1,1,1,1,1,1
"97",-1615000,7131456.42857143,0,278.83168485198,1.60630580660629,2.79669245485905,0.16,1,1,1,1,1,1,1,1,1
"98",-1525000,7131456.42857143,0,278.809702200959,1.62342277732212,2.87978018791346,0.18,1,1,1,1,1,1,1,1,1
"99",-1435000,7131456.42857143,0,278.845213304605,1.61711007282043,1.8645110436459,0.16,1,1,1,1,1,1,1,1,1
"100",-1345000,7131456.42857143,0,278.990282845528,1.61133386620402,2.15451166007012,0.2,1,1,1,1,1,1,1,1,1
"101",-1255000,7131456.42857143,0,279.26203215151,1.62437278759851,1.86197295261387,0.18,1,1,1,1,1,1,1,1,1
"102",-1165000,7131456.42857143,0,279.600534920206,1.62007705777478,2.30800965696655,0.24,1,1,1,1,1,1,1,1,1
"103",-1075000,7131456.42857143,0,280.021646585836,1.64051102670747,2.65609675060693,0.18,1,1,1,1,1,1,1,1,1
"104",-985000,7131456.42857143,0,280.435556256975,1.65238886959163,2.97503556837906,0.26,1,1,1,1,1,1,1,1,1
"105",-895000,7131456.42857143,0,280.83677442062,1.6704374668339,5.07657870056597,0.36,1,1,1,1,1,1,1,1,1
"106",-805000,7131456.42857143,0,281.212896201776,1.67306328384808,6.7577330169327,0.32,1,1,1,1,1,1,1,1,1
"107",-715000,7131456.42857143,0,281.654535661032,1.6057697099481,6.1895067126488,0.34,1,1,1,1,1,1,1,1,1
"108",-625000,7131456.42857143,0,282.10259977388,1.57398910040398,5.57140319233251,0.14,1,1,1,1,1,1,1,1,1
"109",-535000,7131456.42857143,0,282.35624967193,1.59421252435853,3.73218102644441,0.14,1,1,1,1,1,1,1,1,1
"110",-445000,7131456.42857143,0,282.602086912617,1.59946212808978,1.73306827638044,0.24,1,1,1,1,1,1,1,1,1
"111",-355000,7131456.42857143,0,282.937699569029,1.60465102018957,4.41514319150261,0.24,1,1,1,1,1,1,1,1,1
"112",-265000,7131456.42857143,0,283.226304114914,1.58264173098032,4.55310116593378,0.28,1,1,1,1,1,1,1,1,1
"113",-175000,7131456.42857143,0,283.477942380225,1.56121505505462,8.18541372178866,0.3,1,1,1,1,1,1,1,1,1
"114",-85000,7131456.42857143,0,283.627242967435,1.56302556652639,6.85962971913616,0.38,1,1,1,1,1,1,1,1,1
"115",5000,7131456.42857143,0,283.749655826526,1.57331861436184,4.19932346466455,0.38,1,1,1,1,1,1,1,1,1
"116",95000,7131456.42857143,0,283.904278131588,1.52908421360049,6.74120361088087,0.38,1,1,1,1,1,1,1,1,1
"117",185000,7131456.42857143,0,283.89271330645,1.52104528404168,3.57392153662599,0.42,1,1,1,1,1,1,1,1,1
"118",275000,7131456.42857143,0,283.927656496177,1.55265888362155,4.66778703349665,0.34,1,1,1,1,1,1,1,1,1
"119",365000,7131456.42857143,0,284.058214815425,1.6319622824531,3.73800521678417,0.36,1,1,1,1,1,1,1,1,1
"120",455000,7131456.42857143,0,284.28987663318,1.70889641095293,3.07609134569471,0.36,1,1,1,1,1,1,1,1,1
"121",545000,7131456.42857143,0,284.342265089549,1.69724984482281,3.94003579581588,0.42,1,1,1,1,1,1,1,1,1
"122",635000,7131456.42857143,0,284.378318699325,1.84527374441706,6.42279847700537,0.26,1,1,1,1,1,1,1,1,1
"123",725000,7131456.42857143,0.0408799635326543,284.099949819825,2.41412512671228,8.24105973186889,0.3,1,1,1,1,1,1,1,1,1
"124",815000,7131456.42857143,0.173417383582869,283.657707116536,2.62472528418035,7.19465634192303,0.3,1,1,1,1,1,1,1,1,0
"125",905000,7131456.42857143,0.773211364028367,283.222736385643,3.11467682203862,5.86498345858765,0.18,1,1,0,1,1,1,1,1,0
"126",995000,7131456.42857143,0.364802688900202,283.169661365531,2.79335773586174,5.27050741081299,0.24,1,1,0,1,1,1,1,0,1
"127",1085000,7131456.42857143,0.121929468385174,283.201221732498,2.34923060951497,5.84382130233911,0.58,1,1,1,1,1,1,1,0,1
"128",1175000,7131456.42857143,0,283.494754408779,2.02780271941225,4.60142996836789,0.38,1,1,1,1,1,1,1,1,1
"129",1265000,7131456.42857143,0,283.636849753632,1.79511743274148,2.8297605864017,0.32,1,1,1,1,1,1,1,1,1
"130",1355000,7131456.42857143,0,283.553856498817,1.67181492672259,2.12591232977971,0.38,1,1,1,1,1,1,1,1,1
"131",1445000,7131456.42857143,0,283.556926275066,1.67169251045124,3.15297925128121,0.34,1,1,1,1,1,1,1,1,1
"132",1535000,7131456.42857143,0,283.794978761825,1.53671481145359,4.91030777448792,0.28,1,1,1,1,1,1,1,1,1
"133",1625000,7131456.42857143,0,283.975669133373,1.90400830727169,4.99185045297669,0.36,1,1,1,1,1,1,1,1,1
"134",1715000,7131456.42857143,0.629231807874052,283.798332746129,2.55804249201816,2.74659558981942,0.1,1,1,1,0,1,1,1,1,1
"135",1805000,7131456.42857143,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"136",-2155000,6984039,0,275.625844930742,3.41081425433117,8.20843507367467,0.2,1,1,1,1,0,0,1,0,1
"137",-2065000,6984039,0,276.231485212404,3.51349275957885,21.2650442330417,0.28,1,1,1,1,1,1,1,1,1
"138",-1975000,6984039,0,278.45579734976,2.6435079740228,12.8594728799811,0.32,1,1,1,1,1,1,1,1,1
"139",-1885000,6984039,0,279.596226047527,1.94627774417084,2.21966458244883,0.22,1,1,1,1,1,1,1,1,1
"140",-1795000,6984039,0,279.749608727402,1.75319643210194,2.82621448341382,0.3,1,1,1,1,1,1,1,1,1
"141",-1705000,6984039,0,279.573475115418,1.63710634050357,3.27502319214196,0.3,1,1,1,1,1,1,1,1,1
"142",-1615000,6984039,0,279.366046569357,1.59896510142747,3.23277846949265,0.2,1,1,1,1,1,1,1,1,1
"143",-1525000,6984039,0,279.344090147097,1.60543369462188,2.47210982970171,0.14,1,1,1,1,1,1,1,1,1
"144",-1435000,6984039,0,279.378380115632,1.60688987558921,1.983134153222,0.18,1,1,1,1,1,1,1,1,1
"145",-1345000,6984039,0,279.525101055447,1.58019345142031,1.81165317090157,0.24,1,1,1,1,1,1,1,1,1
"146",-1255000,6984039,0,279.793974323798,1.59224412333696,2.10999540396271,0.16,1,1,1,1,1,1,1,1,1
