"","x","y","land_perc","temp","prec","grad","fore"
"152",-663543.560947615,2443200.50253143,1,6.97985628823529,471.421961685031,12.6724326134583,10.6875253319696
"153",-561137.963182434,2443200.50253143,1,7.51927483024834,458.784287211617,9.23796719920576,4.89661132045049
"154",-458732.365417253,2443200.50253143,1,7.80325675351902,468.273447634372,7.40277983551272,0.00655709277331991
"155",-356326.767652072,2443200.50253143,1,7.5688873467488,483.877169120452,6.85623789260878,0.0172566173635231
"156",-253921.16988689,2443200.50253143,1,6.81002069572031,546.497809801571,3.14946772124054,0.0159105448303448
"157",-151515.57212171,2443200.50253143,1,6.58409208878073,599.449670396011,2.05451941772441,0.0567632383069719
"158",-49109.9743565284,2443200.50253143,1,6.34125421397246,661.220967675752,3.17728965832003,0.124520671666858
"159",53295.6234086528,2443200.50253143,1,6.59773390224291,719.951394877061,2.39171555623609,1.15845168035207
"160",155701.221173834,2443200.50253143,1,6.77573715498936,790.772242067509,2.9461766015663,4.64741748242544
"161",258106.818939015,2443200.50253143,1,6.77629107362577,849.298649971123,5.77250786626887,15.1684025881077
"162",360512.416704196,2443200.50253143,1,6.41514929191102,870.450631995883,8.44012021335165,44.4640910649065
"163",462918.014469377,2443200.50253143,1,5.95853766231807,853.241631179167,3.74691938862848,51.6952053127134
"164",565323.612234558,2443200.50253143,1,6.29080826152294,833.894021018996,4.11575979863773,50.9432805297637
"165",667729.20999974,2443200.50253143,1,6.82571949245889,806.168676573597,2.87356329698118,17.303524159114
"166",770134.80776492,2443200.50253143,1,7.60899501826478,884.031226968033,5.85084892976207,27.0639247418028
"167",872540.405530102,2443200.50253143,1,6.82066691652878,865.332599932893,6.09764389516371,62.4505791630731
"168",974946.003295283,2443200.50253143,1,7.28118226358045,802.824246020536,3.05636210602415,38.0812811530239
"169",1077351.60106046,2443200.50253143,0.582393660362389,8.03072181021811,825.263283700325,2.26494100059116,2.44597816822868
"170",1179757.19882564,2443200.50253143,NA,NA,NA,NA,NA
"171",1282162.79659083,2443200.50253143,NA,NA,NA,NA,NA
"172",1384568.39435601,2443200.50253143,0.285395485722963,9.33712789537659,914.440994916157,5.01182889469517,7.65962547832111
"173",1486973.99212119,2443200.50253143,0.483940027159548,9.13216128929163,907.133855304655,5.27935854517261,9.94932931098443
"174",1589379.58988637,2443200.50253143,0.936720416100143,7.81438544920662,1144.52715168674,9.0113245897167,47.4316120541774
"175",1691785.18765155,2443200.50253143,1,6.25010987612927,1245.33167258582,22.4892046668229,87.0992280172526
"176",1794190.78541673,2443200.50253143,1,7.5028225178423,1171.26655452435,28.4703199844801,91.6519045836455
"177",1896596.38318191,2443200.50253143,1,7.54691743922261,1252.46305619696,25.6410480199306,120.010111642188
"178",1999001.98094709,2443200.50253143,0.855386942417759,9.33470862109155,1231.39255394806,9.74559649570452,68.5501240088117
"179",2101407.57871227,2443200.50253143,0.0999178194123296,10.5608354164187,1224.70715934473,4.40870068561555,40.4960044987057
"180",2203813.17647746,2443200.50253143,NA,NA,NA,NA,NA
"181",-2302033.12519051,2236866.55441725,0.850398377003369,12.4392015017287,1547.96056522673,63.0531137950076,181.213366083184
"182",-2199627.52742533,2236866.55441725,1,14.0940649305655,1072.59186084223,48.1896661771767,96.3238419847861
"183",-2097221.92966015,2236866.55441725,1,9.47646779623291,1024.01148241207,40.2920243831667,143.534652635186
